Year	Age	Cost	Cash Value	Death Benefit	Ratio=(Death Benefit - Cash Value) / Cost			Cash Value	Death Benefit	Ratio		Ratio Variance
1	47	24923	37561	2123881	83.71062874		24923	37561	2123881	83.71062874		0
2	48	25045	172305	2256405	83.21421441		25045	172305	2256405	83.21421441		0
3	49	25150	316302	2398202	82.77932406		25150	316302	2398202	82.77932406		0
4	50	25324	470156	2549856	82.12367714		25324	470156	2549856	82.12367714		0
5	51	25327	634744	2712244	82.02708572		25327	634744	2712244	82.02708572		0
6	52	25390	810760	2886060	81.73690429		25390	810760	2886060	81.73690429		0
7	53	25465	999004	3072104	81.40977813		25465	999004	3072104	81.40977813		0
8	54	25582	1210297	3271197	80.56055039		25582	1210297	3271197	80.56055039		0
9	55	25732	1435508	3484228	79.61759677		25732	1435508	3484228	79.61759677		0
10	56	20302	1681619	3718159	100.3122845		20302	1681619	3718159	100.3122845		0
11	57	14929	1799930	3824290	135.5991694		14929	1799930	3824290	135.5991694		0
12	58	15205	1925467	3937647	132.3367313		15205	1925467	3937647	132.3367313		0
13	59	15480	2058743	4058743	129.1989664		15480	2058743	4058743	129.1989664		0
14	60	15800	2188080	4188080	126.5822785		15800	2188080	4188080	126.5822785		0
15	61	16115	2326246	4326246	124.1079739		16115	2326246	4326246	124.1079739		0
16	62	7838	2482786	4482786	255.1671345		7815	2482810	4326246	235.884325		19.28280946
17	63	8617	2649599	4649599	232.0993385		7921	2650347	4326246	211.5766949		20.52264366
18	64	9442	2827365	4827365	211.8195298		7892	2829774	4326246	189.6188545		22.20067522
19	65	10368	2814349	4814349	192.9012346		7738	2757692	4063582	168.7632463		24.13798825
20	66	11353	2802198	4802198	176.1648903		7393	2684535	3787785	149.2290004		26.93588993
21	67	12634	2790806	4790806	158.3029919		6945	2610514	3498198	127.8162707		30.48672123
22	68	14280	2779994	4779994	140.0560224		6307	2535961	3196215	104.6859046		35.37011786
23	69	16272	2769600	4769600	122.9105211		5311	2461411	3126586	125.244775		-2.334253855
24	70	18659	2759407	4759407	107.1868803		5920	2385411	3052935	112.7574324		-5.570552107
25	71	21457	2749171	4749171	93.20967516		6796	2307804	2974766	98.14037669		-4.930701528
26	72	24743	2738562	4738562	80.83094208		7236	2229162	2845020	85.11028192		-4.279339839
27	73	27554	2728235	4728235	72.58474269		7267	2150083	2705183	76.38640429		-3.801661606
28	74	30677	2718085	4718085	65.19542328		7055	2071046	2554778	68.56583983		-3.370416549
29	75	34127	2707991	4707991	58.6046239		6510	1992670	2393370	61.55145929		-2.946835389
30	76	37925	2697814	4697814	52.73566249		5517	1915753	2220584	55.25303607		-2.517373579
31	77	42234	2687246	4687246	47.35521144		6528	1838616	2163175	49.71798407		-2.362772628
32	78	47021	2676004	4676004	42.53418685		7722	1761366	2106827	44.73724424		-2.203057385
33	79	52325	2663754	4663754	38.22264692		9132	1684101	2051702	40.25416119		-2.031514273
34	80	58115	2650187	4650187	34.41452293		10777	1606922	1997966	36.2850515		-1.87052857
35	81	64696	2634665	4634665	30.91381229		12748	1529860	1945719	32.62150926		-1.707696965
36	82	72691	2615874	4615874	27.51372247		15215	1452788	1894895	29.05731186		-1.543589394
37	83	81532	2593011	4593011	24.53024579		18127	1375645	1845502	25.92028466		-1.390038865
38	84	91366	2565078	4565078	21.88998096		21571	1298294	1797470	23.14106903		-1.251088072
39	85	102816	2530377	4530377	19.45222533		25772	1220376	1750503	20.56988204		-1.117656708
40	86	116194	2486780	4486780	17.21259273		30912	1141339	1704102	18.20532479		-0.9927320601
41	87	131078	2432469	4432469	15.2580906		36998	1060608	1657752	16.13989945		-0.8818088515
42	88	148065	2364892	4364892	13.50758113		44325	977286	1610603	14.28803158		-0.780450455
43	89	167878	2280585	4280585	11.91341331		53275	890041	1561352	12.60086344		-0.6874501323
44	90	190019	2176379	4176379	10.52526326		63890	797453	1508609	11.13094381		-0.6056805465
45	91	218982	2246640	4246640	9.133170763		77959	960473	1713344	9.657268564		-0.5240978014
46	92	256152	2290459	4290459	7.807864081		77221	1145176	1783055	8.260434338		-0.4525702571
47	93	298029	2301436	4301436	6.710756336		71348	1358896	1865919	7.106337949		-0.3955816134
48	94	343016	2274394	4274394	5.830631807		57988	1611955	1970573	6.184348486		-0.3537166786
49	95	389371	2205618	4205618	5.136489364		34834	1917821	2108348	5.46956996		-0.3330805968
50	96	438507	2089681	4089681	4.560930612		90	2292808	2292808	0		    4.560930612
51	97	490172	1921053	3921053	4.080200419		90	2706308	2706308	0		    4.080200419
52	98	548444	1689603	3689603	3.646680427		90	3161643	3161643	0		    3.646680427
53	99	626321	1371010	3371010	3.193250745		90	3662405	3662405	0		    3.193250745
54	100	714100	949328	2949328	2.800728189		90	4212468	4212468	0		    2.800728189
